"Smokers","Adults.with.Obesity","Physically.Inactive","With.Access.to.Exercise.Opportunities","Excessive.Drinking","Uninsured","Unemployed","Children.in.Poverty","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg","location"
19,30,35,78,14,10,4,23.9330464862514,75,1896,458.397332378953,66,7,13,15,15,145.970004500044,17,11,35,12,43610,30,188,99154,20.1,23.8,9.35295302,4.35742051,8.7,1490,13935.9,"Arkansas Garland"
22.1705491315555,34.394098682626,32.6728325054111,36,14,9,6.2,25.0956287848423,72.9,371,520.918873525519,69.6186186389782,8.77928326901157,15,16,15.9218322392229,152.254848458787,15.8419175402422,10,36,11,36573,14,22,16811,20.1,18.1,8.931328321,4.64643345,8.1,1197,10690.8,"Arkansas Jackson"
19,32,26,59,13,10,3.4,33,77.4,137,444.051952539453,57.2157287659494,6.19712005740994,14,15,11,88,14,21,33,11,36078,22.7226839165892,15,7805,19.2,26.5,6.415828678,3.82499638,5.7,1074,6890.6,"Arkansas Newton"
24,36.0501032323893,31.1893293779342,69.2567088919533,10,7,6.1,24.8916956305115,71.8,404,578.108811816412,71.5009860282111,10,17,18,19,171.656784054105,16.1632713997548,10.740446413589,37,9,29945,19,47,18029,25.8,19,10.81778523,4.420298959,10.25,298,3223.7,"Arkansas Phillips"
20,34,31,60,13,13,4.2,30,76.2,375,457,69.4932038402227,7.80747786232877,15,16,13,65,17,20,34,16,39048,25,47,20049,22.8,23,7.957457847,4.501962944,7.3,2313,18405.6,"Arkansas Polk"
19,34,32,68,16,11,4.5,20,76.9,901,429,46,4,14,15,11,100,16,6,36,13,45788,18,103,64000,22.7,15.8,11.07457627,4.607749802,10.3,295,3267,"Arkansas Pope"
18,33,30,84,15,8,3.5,26,76.3,2227.07892990467,425.112804252814,71,8,12,13,12,205.572076285285,19,10,35,9,49957,16,301,146896.61749309,23.2,15.6,9.74565455,4.416010173,9.0125,4385.79462082137,42379.1186591094,"Arkansas Pulaski"
18.3753927622741,31,30,78,15,13,3.6,23,76.1,1986,431.391665470023,55,6,14,15,12,198,17,4,33,16,46843,17,194,127753,23.9,16,11.57388889,4.850875218,11.2,180,2083.3,"Arkansas Sebastian"
20,35,33.4301667390478,48,13,9,5.6,25,73.2,825,508.442630347194,65.0567428622743,9,13,15,14,208.928643431936,15.7539067866576,13,36,11,45335,17,71,39126,24.1,17.9,9.707786382,4.615924994,8.9,3044,29550.50175,"Arkansas Union"
19,30,25,76.7455678202806,17,12,2.6,17,78.2,2419,363,58,7,13,14,9,171,14,6,34,15,50893,17,179,236961,24.4,11.7,9.035736136,4.036233255,8.4,3566,32221.43506,"Arkansas Washington"
19,31,31,57,15,9,4.4,22,75.3,1254,445.560082625003,61.5399486976518,10,13,14,13,110,16,5,35,10,44811,20,70,78727,23.1,16.4,11.79527897,4.804247764,11.3,233,2748.3,"Arkansas White"
10,19,15,100,20,6,3,10,82.9,2147.44290204251,231,32,4,9,10,7,408,12,1,33,7,74980.5046690462,9,201.689404152734,233351.879508798,20.5,13.8,9.268667527,8.410461577,7.75,8961.68379849979,76258.1340524242,"California Alameda"
14,23,21,75.8383891565753,20,8,4.6,19.4078531714987,77.4045650557813,39,383.491831635844,52.8856302975326,6.11025920255842,13,14,7,123.117494974995,14,12,31,8,55384,21.8354311964679,5,1101,17.5,25.4,17.93511905,6.25074792163556,7.5,168,3013.1,"California Alpine"
14,27,22,84,20,7,5,20,77.6,1498.8015789914,359.55020929548,37,4,13,13,10,125,16,7,32,9,50945,19,241,231256,20,18.6,9.777173369,11.7782028,7.708333,8050.61831983954,66085.9251384578,"California Butte"
11,31,31,60,20,7,4,18,79.5,727,336,52,5.81715644181425,10,12,12,100,12,3,31,8,53732.5539424236,24,18,45602,16.9,27.5,9.053229536,8.455640002,7.666667,6590,59660.78264,"California Calaveras"
12,41,28,75,20,11,12.9,14,79.9,228,333,42,4.82649722825236,12,12,21,35,12,3,33,14,57249,16,153,21627,27.3,14.6,8.418588771,8.702693468,6.666667,5939.18041380469,42325.6956305895,"California Colusa"
10,24,16,97,20,6,3.2,9,82.4,9400,234,30,4,9,11,9,256,10,3,32,7,101463,10,1016,428074.407914316,22.6,15.8,9.299153686,8.448435484,7.73913,10926,101602.5532,"California Contra Costa"
15,34,25,89,20,6,5.5,27,76.5,511,389.450027844682,55.3374073478943,5.98959638733709,13,14,10,95,16,14,33,8,48518,17,57,27828,21,18,5.266474582,5.801186141,4.1,2417,12729.06907,"California Del Norte"
11,23,18,90,22,5,3.6,9,81.9,1968,249,25,3,10,11,8,117,11,6,31,6,62436.7200351687,16,114,190678,19.8,21.2,3.312695548,4.28943244,2.4,1662,5505.7,"California El Dorado"
13,31,20,78,17,9,7.5,30,78.9,10121,352,52,7,13,13,11,233,14,4,35,12,52318,11,336,994400,28.3,12.3,12.23539905,10.93160493,9.2,40868,500036.2882,"California Fresno"
13,32,19,66,20,11,6.5,19,77.9,334,354,64,5.56017545141142,12,13,10,75,13,4,34,14,47365,23,132,28047,26.6,15.9,8.612918046,7.018703769,7.3,7032,60566.0397,"California Glenn"
